id,studentId,studentName,location,phoneNumber,age
1,1,Abdul,Chennai,9998887776,16
2,2,studentName,Banglore,9998887777,17
3,3,studentName,Pune,9998887778,18
4,4,studentName,Vizag,9998887779,20
5,5,studentName,Hyderabad,9998887780,56
6,6,studentName,Mumbai,9998887781,34
7,7,studentName,Delhi,9998887782,33
8,8,studentName,Thiruvananthapuram,9998887783,3
9,9,studentName,Coimbatore,9998887784,7
10,10,studentName,Kochi,9998887785,2
11,11,studentName,Chennai,9998887786,17
12,12,studentName,Banglore,9998887787,29
13,13,studentName,Pune,9998887788,55
14,14,studentName,Vizag,9998887789,46
15,15,studentName,Hyderabad,9998887790,32
16,16,studentName,Mumbai,9998887791,21
17,17,studentName,Delhi,9998887792,23
18,18,studentName,Thiruvananthapuram,9998887793,23
19,19,studentName,Coimbatore,9998887794,60
20,20,studentName,Kochi,9998887795,22
21,21,studentName,Chennai,9998887796,19
22,22,studentName,Banglore,9998887797,61
23,23,studentName,Pune,9998887798,51
24,24,studentName,Vizag,9998887799,30
25,25,studentName,Hyderabad,9998887800,29
26,26,studentName,Mumbai,9998887801,27
27,27,studentName,Delhi,9998887802,26
28,28,studentName,Thiruvananthapuram,9998887803,22
29,29,studentName,Coimbatore,9998887804,29
30,30,studentName,Kochi,9998887805,43
